ID,Longitude,Latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
1,121.2565678,30.69942474,0.0,37.73650432,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,121.2745341,30.69942474,0.0,4394.568847,0.17391304347826086,0.0,0.08695652173913043,0.08695652173913043,0.6521739130434783,0.0,0.0
3,121.2925004,30.69942474,1976.912598,5091.352096,0.25,0.0,0.0,0.0,0.75,0.0,0.0
4,121.3104667,30.69942474,0.0,7984.279491,0.0,0.0,0.0,0.5,0.5,0.0,0.0
5,121.328433,30.69942474,0.0,9127.784319,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0
6,121.3463993,30.69942474,0.0,133.0750818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,121.2565678,30.71487196,0.0,198.1787475,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,121.2745341,30.71487196,122.9526291,1833.78779,0.02564102564102564,0.0,0.0,0.41025641025641024,0.5641025641025641,0.0,0.0
9,121.2925004,30.71487196,536.7171326,4032.480827,0.1323529411764706,0.0,0.014705882352941176,0.1323529411764706,0.6911764705882353,0.0,0.0
10,121.3104667,30.71487196,2113.437988,23295.5364,0.19696969696969696,0.0,0.13636363636363635,0.0,0.6363636363636364,0.0,0.0
11,121.328433,30.71487196,3158.293823,32627.75085,0.16581632653061223,0.005952380952380952,0.3299319727891156,0.32227891156462585,0.09948979591836735,0.027210884353741496,0.004251700680272109
12,121.3463993,30.71487196,234.1414642,28495.21154,0.1569069069069069,0.0045045045045045045,0.15840840840840842,0.5780780780780781,0.042042042042042045,0.014264264264264264,0.0037537537537537537
13,121.3643656,30.71487196,0.0,73.94477081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,121.2565678,30.73031671,72.88011169,17.74548137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,121.2745341,30.73031671,65.47447205,2824.358694,0.04132231404958678,0.0,0.0743801652892562,0.11570247933884298,0.768595041322314,0.0,0.0
16,121.2925004,30.73031671,679.1733704,7193.043663,0.05714285714285714,0.002197802197802198,0.4989010989010989,0.02857142857142857,0.389010989010989,0.002197802197802198,0.0
17,121.3104667,30.73031671,1883.690063,14436.22917,0.22859216255442671,0.0,0.555878084179971,0.02467343976777939,0.10159651669085631,0.009433962264150943,0.0
18,121.328433,30.73031671,2002.715439,20716.84176,0.22364066193853427,0.005673758865248227,0.38203309692671394,0.2203309692671395,0.08274231678486997,0.013711583924349883,0.002364066193853428
19,121.3463993,30.73031671,133.386322,19808.18969,0.1792402354200107,0.006420545746388443,0.3392188336008561,0.3156768325307651,0.051899411449973246,0.012841091492776886,0.008560727661851257
20,121.3643656,30.73031671,86.23062134,10848.59817,0.08672086720867209,0.0,0.5474254742547425,0.07588075880758807,0.15447154471544716,0.005420054200542005,0.037940379403794036
21,121.3823319,30.73031671,0.0,25.23271179,0.0,0.0,0.5,0.0,0.0,0.0,0.0
22,121.2386015,30.74575899,0.0,36.69164819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,121.2565678,30.74575899,101.6763401,495.9662918,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,121.2745341,30.74575899,145.6206589,1908.607676,0.0,0.0,0.0,0.875,0.125,0.0,0.0
25,121.2925004,30.74575899,2200.375771,1414.238687,0.10344827586206896,0.0,0.1206896551724138,0.3275862068965517,0.3793103448275862,0.0,0.0
26,121.3104667,30.74575899,1970.517395,7522.209879,0.25,0.0,0.43283582089552236,0.029850746268656716,0.1791044776119403,0.011194029850746268,0.0
27,121.328433,30.74575899,515.0421219,9536.76794,0.3408662900188324,0.007532956685499058,0.2391713747645951,0.1487758945386064,0.14689265536723164,0.02071563088512241,0.015065913370998116
28,121.3463993,30.74575899,259.0819168,12785.4637,0.16717325227963525,0.0121580547112462,0.46504559270516715,0.08814589665653495,0.13677811550151975,0.00911854103343465,0.0060790273556231
29,121.3643656,30.74575899,392.7272072,14689.46817,0.07272727272727272,0.0,0.19545454545454546,0.07727272727272727,0.6272727272727273,0.013636363636363636,0.0
30,121.3823319,30.74575899,610.7645645,3268.008536,0.15,0.0,0.0,0.35,0.5,0.0,0.0
31,121.4002982,30.74575899,0.0,27.49414563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,121.2206352,30.76119879,0.0,61.9330861,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,121.2386015,30.76119879,199.2037048,525.2502148,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0
34,121.2565678,30.76119879,38.67301273,661.0546858,0.08695652173913043,0.0,0.13043478260869565,0.6956521739130435,0.043478260869565216,0.043478260869565216,0.0
35,121.2745341,30.76119879,31.8179512,569.1604307,0.09523809523809523,0.0,0.0,0.6190476190476191,0.23809523809523808,0.047619047619047616,0.0
36,121.2925004,30.76119879,73.16880417,797.5902548,0.0,0.0,0.19047619047619047,0.5238095238095238,0.2857142857142857,0.0,0.0
37,121.3104667,30.76119879,100.6781616,3431.160401,0.125,0.0,0.39285714285714285,0.21428571428571427,0.25,0.017857142857142856,0.0
38,121.328433,30.76119879,1465.054909,5286.856556,0.10260869565217391,0.05391304347826087,0.577391304347826,0.03130434782608696,0.05391304347826087,0.019130434782608695,0.006956521739130435
39,121.3463993,30.76119879,166.4212341,16406.7771,0.236,0.0,0.28,0.22,0.172,0.008,0.0
40,121.3643656,30.76119879,186.6222992,11104.77518,0.13983739837398373,0.0,0.5788617886178862,0.05365853658536585,0.15609756097560976,0.008130081300813009,0.008130081300813009
41,121.3823319,30.76119879,126.4216442,2232.608279,0.0,0.0,0.15789473684210525,0.631578947368421,0.21052631578947367,0.0,0.0
42,121.4002982,30.76119879,0.0,817.7184508,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0
43,121.4182645,30.76119879,0.0,48.16556799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,121.1308036,30.77663611,0.0,284.0403949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,121.1487699,30.77663611,451.8465576,500.5321579,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,121.1667363,30.77663611,0.0,1219.18207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,121.1847026,30.77663611,18.15209389,2831.790049,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
48,121.2026689,30.77663611,0.0,103.0001295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,121.2206352,30.77663611,13.148242,343.7826153,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,121.2386015,30.77663611,517.2211914,2939.745058,0.21052631578947367,0.0,0.23684210526315788,0.2894736842105263,0.05263157894736842,0.02631578947368421,0.13157894736842105
51,121.2565678,30.77663611,438.7379913,1782.032399,0.20833333333333334,0.0,0.08333333333333333,0.5416666666666666,0.125,0.0,0.041666666666666664
52,121.2745341,30.77663611,21.38519478,645.5906299,0.0,0.0,0.05263157894736842,0.6842105263157895,0.2631578947368421,0.0,0.0
53,121.2925004,30.77663611,98.60873413,2476.729728,0.058823529411764705,0.0196078431372549,0.17647058823529413,0.35294117647058826,0.37254901960784315,0.0,0.0
54,121.3104667,30.77663611,20.11374855,2481.12142,0.045454545454545456,0.0,0.09090909090909091,0.22727272727272727,0.6363636363636364,0.0,0.0
55,121.328433,30.77663611,113.4342804,2943.612572,0.09375,0.0,0.09375,0.34375,0.40625,0.0,0.0
56,121.3463993,30.77663611,481.0458374,5556.986159,0.060240963855421686,0.0,0.19879518072289157,0.09036144578313253,0.6506024096385542,0.0,0.0
57,121.3643656,30.77663611,111.1189766,9105.546182,0.043478260869565216,0.0,0.09565217391304348,0.08695652173913043,0.7391304347826086,0.0,0.008695652173913044
58,121.3823319,30.77663611,448.6714897,1377.242011,0.1111111111111111,0.0,0.05555555555555555,0.7777777777777778,0.05555555555555555,0.0,0.0
59,121.4002982,30.77663611,45.82584381,1426.571211,0.16666666666666666,0.0,0.0,0.5,0.3333333333333333,0.0,0.0
60,121.4182645,30.77663611,0.0,3486.277513,0.23076923076923078,0.0,0.0,0.3076923076923077,0.46153846153846156,0.0,0.0
61,121.4362308,30.77663611,0.0,3595.216366,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,121.4541971,30.77663611,0.0,1844.803234,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
63,121.4721635,30.77663611,0.0,62.04406738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
